#separator:tab
#html:false
Nej, det gör det inte.	Nein, das tut es nicht.
Nein, das tut es nicht.	Nej, det gör det inte.
krog, -en, -ar, -arna	Kneipe
Kneipe	krog, -en, -ar, -arna
teat/er, -rn, -rar, -rarna	Theater
Theater	teat/er, -rn, -rar, -rarna
(att) upplev/a, -er, -de, -t	erleben (Verb)
erleben (Verb)	(att) upplev/a, -er, -de, -t
stor/stad, -en, -städer, -städerna	Großstadt
Großstadt	stor/stad, -en, -städer, -städerna
hier	här
här	hier
allt	alles
alles	allt
skärgård, -en, -ar, -arna	Schärengarten (Inselgruppe bei Stockholm)
Schärengarten (Inselgruppe bei Stockholm)	skärgård, -en, -ar, -arna
centr/um, -umet, -a, -arna	Zentrum
Zentrum	centr/um, -umet, -a, -arna
fin, -t, -a	fein
fein	fin, -t, -a
gata, -n, -or, -orna	Straße
Straße	gata, -n, -or, -orna
mysig, -t, -a	gemütlich
gemütlich	mysig, -t, -a
bra	gut
gut	bra
park, -en, -er, -erna	Park
Park	park, -en, -er, -erna
naturligtvis	natürlich
natürlich	naturligtvis
utbud, -et, --, -en	Angebot
Angebot	utbud, -et, --, -en
kultur, -en, -er, -erna	Kultur
Kultur	kultur, -en, -er, -erna
nöje, -t, -n, -???	Vergnügen
Vergnügen	nöje, -t, -n, -???
sport, -en, -er, -erna	Sport
Sport	sport, -en, -er, -erna
nöjespark, -en, -er, -erna	Vergnügungspark
Vergnügungspark	nöjespark, -en, -er, -erna
hamn, -en, -ar, -arna	Hafen
Hafen	hamn, -en, -ar, -arna
centralstation, -en, -er, -erna	Hauptbahnhof
Hauptbahnhof	centralstation, -en, -er, -erna
tågförbindelse, -n, -r, -rna	Zugverbindung
Zugverbindung	tågförbindelse, -n, -r, -rna
men	aber
aber	men
skog, -en, -ar, -arna	Wald
Wald	skog, -en, -ar, -arna
modern, -t, -a	modern
modern	modern, -t, -a
din, ditt, dina	dein, deine
dein, deine	din, ditt, dina
min, mitt, mina	mein, meine
mein, meine	min, mitt, mina
norra	nördlich
nördlich	norra
södra	südlich
südlich	södra
västra	westlich
westlich	västra
östra	östlich
östlich	östra
den	er, sie, es
er, sie, es	den
mittemot	gegenüber
gegenüber	mittemot
personlig, -t, -a	persönlich
persönlich	personlig, -t, -a
service, -n	Service
Service	service, -n
information, -en, -er, -erna	Information
Information	information, -en, -er, -erna
om (Präposition)	über (Präposition)
über (Präposition)	om (Präposition)
sightseeing, -en, -ar, -arna	Sightseeing
Sightseeing	sightseeing, -en, -ar, -arna
utflykt, -en, -er, -erna	Ausflug
Ausflug	utflykt, -en, -er, -erna
(att) boka, -r, -de, -t	buchen
buchen	(att) boka, -r, -de, -t
samt	und, sowie
und, sowie	samt
Stockholmskortet	Stockholmkarte
Stockholmkarte	Stockholmskortet
evenmang, -et, --, -en	Veranstaltung
Veranstaltung	evenmang, -et, --, -en
biljet, -en, -er, -erna	Eintrittskarte
Eintrittskarte	biljet, -en, -er, -erna
(att) hyr/a, --, -de, -t	mieten
mieten	(att) hyr/a, --, -de, -t
Vad finns det för ...?	Welch/er, -e, -es, -e ... gibt es?
Welch/er, -e, -es, -e ... gibt es?	Vad finns det för ...?
(att) rekommendera, -r, -de, -t	empfehlen
empfehlen	(att) rekommendera, -r, -de, -t
över (Adverb/Präposition)	über, von
über, von	över (Adverb/Präposition)
guidad visning	Führung
Führung	guidad visning
utflyktsmål, -et, --, -en	Ausflugsziel
Ausflugsziel	utflyktsmål, -et, --, -en
annons, -en, -er, -erna	Anzeige
Anzeige	annons, -en, -er, -erna
(att) titta, -r, -de, -t	schauen, ansehen
schauen, ansehen	(att) titta, -r, -de, -t
(att) koppla, -r, -de, -t av	entspannen
entspannen	(att) koppla, -r, -de, -t av
kaffebön/a, -an, -or, -orna	Kaffeebohne
Kaffeebohne	kaffebön/a, -an, -or, -orna
charmig, -t, -a	bezaubernd, reizend
bezaubernd, reizend	charmig, -t, -a
perfekt, --, -a	perfekt
perfekt	perfekt, --, -a
ställe, -t, -n, -na	Platz, Ort
Platz, Ort	ställe, -t, -n, -na
besök, -et, --, -en	Besuch
Besuch	besök, -et, --, -en
värld, -en, -ar, -arna	Welt
Welt	värld, -en, -ar, -arna
friluftsmuse/um, -et, -er, -erna	Freiluftmuseum
Freiluftmuseum	friluftsmuse/um, -et, -er, -erna
världens äldsta friluftsmuseum	das älteste Freiluftmuseum der Welt
das älteste Freiluftmuseum der Welt	världens äldsta friluftsmuseum
både ... och	sowohl ... als auch
sowohl ... als auch	både ... och
stockholmar/e, -en, -e, -arna	Stockholmer (Einwohner)
Stockholmer (Einwohner)	stockholmar/e, -en, -e, -arna
besökar/e, -en, -e, -arna	Besucher
Besucher	besökar/e, -en, -e, -arna
hit	hierher
hierher	hit
historisk, -t, -a	historisch
historisch	historisk, -t, -a
miniatyr, -en, -er, -erna	Miniatur
Miniatur	miniatyr, -en, -er, -erna
egen, eget, egna	eigen
eigen	egen, eget, egna
picknick, -en, -ar, -arna	Picknick
Picknick	picknick, -en, -ar, -arna
butik, -en, -er, -erna	Geschäft, Laden
Geschäft, Laden	butik, -en, -er, -erna
spännande	spannend
spannend	spännande
sortiment, -et, --, -en	Sortiment, Auswahl
Sortiment, Auswahl	sortiment, -et, --, -en
olika	verschiedene
verschiedene	olika
pris, -et, -er, -erna	Preis
Preis	pris, -et, -er, -erna
foto, -t, -n, -na	Foto
Foto	foto, -t, -n, -na
vykort, -et, --, -en	Ansichtskarte
Ansichtskarte	vykort, -et, --, -en
present, -en, -er, -erna	Geschenk
Geschenk	present, -en, -er, -erna
(att) sälj/a, -er, sålde, sålt	verkaufen
verkaufen	(att) sälj/a, -er, sålde, sålt
katalog, -en, -er, -erna	Katalog
Katalog	katalog, -en, -er, -erna
(att) för/låta, -låter, -lät, -låtit	entschuldigen, verzeihen
entschuldigen, verzeihen	(att) för/låta, -låter, -lät, -låtit
(att) ursäkta, -r, -de, -t	entschuldigen
entschuldigen	(att) ursäkta, -r, -de, -t
Kan du säga mig?	Kannst du mir sagen?
Kannst du mir sagen?	Kan du säga mig?
(att) gå, -r, gick, gått	gehen
gehen	(att) gå, -r, gick, gått
rackt fram	geradeaus
geradeaus	rackt fram
sedan	dann, anschließend
dann, anschließend	sedan
ta till höger	rechts abbiegen
rechts abbiegen	ta till höger
(till) höger	(nach) rechts
(nach) rechts	(till) höger
andra	der, die, das zweite
der, die, das zweite	andra
tredje	der, die, das dritte
der, die, das dritte	tredje
brevid	neben
neben	brevid
Tack så mycket.	Vielen Dank.
Vielen Dank.	Tack så mycket.
hur	wie
wie	hur
(till) vänster	(nach) links
(nach) links	(till) vänster
(att) fort/sätta, -sätter, -satte, -satt	fortsetzen, weitergehen
fortsetzen, weitergehen	(att) fort/sätta, -sätter, -satte, -satt
trafikljus, -et, --, -en	Verkehrsampel
Verkehrsampel	trafikljus, -et, --, -en
Ett ögonblick!	Einen Augenblick!
Einen Augenblick!	Ett ögonblick!
Just precis.	Genau.
Genau.	Just precis.
Tack ska du ha.	Vielen Dank.
Vielen Dank.	Tack ska du ha.
i närheten	in der Nähe
in der Nähe	i närheten
(att) kör/a, --, -de, -t	fahren
fahren	(att) kör/a, --, -de, -t
först	zuerst
zuerst	först
där borta	dort drüben
dort drüben	där borta
borta	fort, weg
fort, weg	borta
korsning, -en, -ar, -arna	Kreuzung
Kreuzung	korsning, -en, -ar, -arna
(att) för/stå, -står, -stod, -stått	verstehen
verstehen	(att) för/stå, -står, -stod, -stått
en gång till	noch einmal
noch einmal	en gång till
efter	nach
nach	efter
(att) beskriv/a, -er, beskrev, -it	beschreiben
beschreiben	(att) beskriv/a, -er, beskrev, -it
hem, -met, --, -men	Haus, Heim
Haus, Heim	hem, -met, --, -men
adress, -en, -er, -erna	Adresse
Adresse	adress, -en, -er, -erna
postnum/mer, -ret, -mer, -merna	Postleitzahl
Postleitzahl	postnum/mer, -ret, -mer, -merna
Jag bor på Biskopsgatan.	Ich wohne in Biskopsgatan.
Ich wohne in Biskopsgatan.	Jag bor på Biskopsgatan.
på	(hier:) in
(hier:) in	på
Vad har du för postnummer?	Was ist deine Postleitzahl?
Was ist deine Postleitzahl?	Vad har du för postnummer?
bokstav, -en, -stäver, -stäverna	Buchstabe
Buchstabe	bokstav, -en, -stäver, -stäverna
(att) uttala, -r, -de, -t	aussprechen
aussprechen	(att) uttala, -r, -de, -t
mynt, -et, --, -en	Münze
Münze	mynt, -et, --, -en
från	ab
ab	från
kalvkött, -et, --, -en	Kalbfleisch
Kalbfleisch	kalvkött, -et, --, -en
dillsås, -en, -er, -erna	Dillsauce
Dillsauce	dillsås, -en, -er, -erna
grönsakssopp/a, -an, -or, -orna	Gemüsesuppe
Gemüsesuppe	grönsakssopp/a, -an, -or, -orna
pannkak/a, -an, -or	Pfannkuchen
Pfannkuchen	pannkak/a, -an, -or
pannbiff, -en, -ar, -arna	Hackbeef
Hackbeef	pannbiff, -en, -ar, -arna
lök, -en, -ar, -arna	Zwiebel
Zwiebel	lök, -en, -ar, -arna
pytt i pann/a, -an, -or, -orna	traditionelles Resteessen
traditionelles Resteessen	pytt i pann/a, -an, -or, -orna
rödbet/a, -an, -or, -orna	Rote Bete
Rote Bete	rödbet/a, -an, -or, -orna
stekt, --, -a	gebraten
gebraten	stekt, --, -a
fisk, -en, -ar, -arna	Fisch
Fisch	fisk, -en, -ar, -arna
grönsak, -en, -er, -erna	Gemüse
Gemüse	grönsak, -en, -er, -erna
stäng, stängt, stängda	geschlossen
geschlossen	stäng, stängt, stängda
påtår, -en, -ar, -arna	"zweites Einschenken (""free refills"")"
"zweites Einschenken (""free refills"")"	påtår, -en, -ar, -arna
Vad har du för en rätt?	Was für ein Gericht hast du?
Was für ein Gericht hast du?	Vad har du för en rätt?
på onsdag	am Mittwoch
am Mittwoch	på onsdag
falukorv, -en, -ar, -arna	eine Art Fleischwurst
eine Art Fleischwurst	falukorv, -en, -ar, -arna
meny, -n, -er, -erna	Speisekarte, Menü
Speisekarte, Menü	meny, -n, -er, -erna
(att) beställ/a, -er, -de, -t	bestellen
bestellen	(att) beställ/a, -er, -de, -t
gäst, -en, -er, -erna	Gast
Gast	gäst, -en, -er, -erna
Kan jag få ...	Ich hätte gerne ...
Ich hätte gerne ...	Kan jag få ...
Jag vill ha ...	Ich hätte gern ... / Ich möchte ...
Ich hätte gern ... / Ich möchte ...	Jag vill ha ...
sopp/a, -n, -or, -orna	Suppe
Suppe	sopp/a, -n, -or, -orna
lättöl, -en	"ein Leichtbier (cave: nur in der Bedeutung ""eine Portion Leichtbier"" ein en-Wort!)"
"ein Leichtbier (cave: nur in der Bedeutung ""eine Portion Leichtbier"" ein en-Wort!)"	lättöl, -en
ris, -et, --, -en	Reis
Reis	ris, -et, --, -en
currysås, -en, -er, -erna	Currysauce
Currysauce	currysås, -en, -er, -erna
past/a, -an, -or, -orna	Nudel
Nudel	past/a, -an, -or, -orna
köttfärs, -en, -er, -erna	Hackfleisch
Hackfleisch	köttfärs, -en, -er, -erna
appeljuice, -n, -r, -rna	Apfelsaft
Apfelsaft	appeljuice, -n, -r, -rna
(att) betala, -r, -de, -t	bezahlen
bezahlen	(att) betala, -r, -de, -t
grilla/d, -t, -de	gegrillt
gegrillt	grilla/d, -t, -de
lingon, -et, --, -en	Preiselbeere
Preiselbeere	lingon, -et, --, -en
lax, -en, -ar, -arna	Lachs
Lachs	lax, -en, -ar, -arna
majonnäs, -en, -er, -erna	Mayonnaise
Mayonnaise	majonnäs, -en, -er, -erna
vatt/en, -net	Wasser
Wasser	vatt/en, -net
lektion, -en, -er, -erna	Unterrichtsstunde, Lektion
Unterrichtsstunde, Lektion	lektion, -en, -er, -erna
